Nazwisko,Wypowiedz
Bosak,Nie zgadzam się z oceną  że środowiska konserwatywne nie zapraszają uznanych na świecie autorytetów. Dopiero co byłem w Krakowie na wykładzie prof. Alejandro Chafuena  teoretyka wolnorynkowej myśli ekonomicznej z USA. Ostatnio zorganizowaliśmy spotkanie z prof. Andrew Michtą  dyrektorem warszawskiego biura The German Marshall Fund.
Bosak,Pederastia nie jest normalnością  to zaburzenie.
Bosak,Platforma Obywatelska w 2007 roku miała świetny wynik (wyborczy – red.) m.in. dzięki głosom młodzieży. A w okresie jej rządów bezrobocie młodzieży wzrosło o ok. 7 punktów procentowych i jest to więcej niż średnia dla całej UE (ok. 5 pkt. proc.).
Bosak,Polska przywróci Europie normalność. Stąd wyjdzie impuls do oczyszczenia Europy. Będziemy wałem przeciw nawale dewiacji
Bosak,Przeszedłem cały Marsz  może 5 proc. ludzi wygląda jak kibole  są rodziny  ale głównie zwykła młodzież
Bosak,Ta impreza ze swastyką w tle i nazistowskimi pozdrowieniami to nie była nasza impreza  a przypisywanie nam faszystowskich poglądów jest absurdalne. Z nas się nabijają na nacjonalistycznych forach internetowych  że nie umiemy zrobić poważnej awantury. Że jesteśmy grzeczni chłopcy. Nasza organizacja to kilka tysięcy osób  które naprawdę robią coś dobrego. To zwykli  młodzi ludzie  a nie jakieś tępe osiłki. Media chcą nas wdeptać w ziemię  ale wzmacniają tymi atakami. Traktują nas jak kupę idiotów. A jak stwierdził jeden z publicystów  być może jesteśmy już chyba ostatnim środowiskiem  które patriotyzm traktuje serio.
Bosak,To ograniczanie swobody dyskusji. Oceniam to jako – swego rodzaju – wyraz politycznej poprawności. Niejednokrotnie obserwowałem debaty na UW  na których był prezentowany pogląd tylko jednej strony  i nikomu to nie przeszkadzało.
Bosak,Usuwanie ciąży przy zagrożeniu życia płodu jest niedopuszczalne  również karanie dziecka śmiercią za krzywdę wyrządzoną jego matce jest niewłaściwe
Bosak,W okresie rządów PiS nasza dyplomacja wydała już ponad 7 tysięcy paszportów w Izraelu i jest to największe tempo od 15 lat! Słyszeliście o tym kiedykolwiek w TVP lub na spotkaniach z politykami PiS?
Bosak,W świecie celebrytów  zwłaszcza tych salonowych  istnieje przyzwolenie  by tych  którzy mają inne poglądy niż politycznie poprawne  niekoniecznie bliskie obozowi władzy  znieważać dość wulgarnie
Bosak,"Wydatki na wojsko rzeczywiście są dość wysokie  bo około 26 mld zł, w ustawie budżetowej znajdują się one pod pozycją „Obrona narodowa”. Jednak gdy im się dobrze przyjrzeć  zobaczymy  że koszt zakupu uzbrojenia to niewielka pozycja. Większość pochłaniają środki przeznaczone na zatrudnienie  zaopatrzenie  usługi remontowe. Podobnie rzecz się ma z bezpieczeństwem publicznym. Okazuje się  że większość pieniędzy pochłaniają struktury  które funkcjonują w tle  więziennictwo czy Straż Graniczna. Więziennictwo to ok. 2 mld zł  a np. CBA – 100 mln złotych. Do więziennictwa możemy dodać emerytury Służby Więziennej  które są schowane w budżecie Ministerstwa Sprawiedliwości. Podobnie Agencja Wywiadu – jej budżet roczny to najwyżej jedna trzecia budżetu ostatniego filmu o Jamesie Bondzie."
Bosak,Zgoda  że Marsz Niepodległości nie był jeszcze doskonały. Ale był lepszy  niż rok temu. A Polska z Marszem jest lepsza  niż gdy go nie było
Bosak,Miała być pomoc frankowiczom  nie została zrealizowana.
Bosak,To sam PiS skasował wybory korespondencyjne dla Polaków na emigracji jakieś 3 lata temu
Bosak,Tempo rozwoju na poziomie 3% PKB to jest co najwyżej średnie tempo. Rumunia  Węgry rozwijały się szybciej.
Bosak,Dzięki temu  że mamy zapisane w Konstytucji  że lasów nie wolno sprywatyzować.
Bosak,A jak wygląda przyjęte przez Sejm betonowe koło ratunkowe dla przedsiębiorców  które dla zmylenia przeciwnika zostało nazwane tarczą antykryzysową? Liczy 179 stron  a instrukcja obsługi – 172.
Bosak,Mamy teraz najwyższe odczyty inflacji od 8 lat i ta inflacja weszła na poziom 4 4 pkt. proc.
Bosak,W tamtej kadencji (V kadencji Sejmu – przyp. Demagog) byłem najmłodszym posłem  a teraz jestem najmłodszym kandydatem.
Bosak,Robert Biedroń obiecał  że się zrzeknie   po czym swoją obietnicę złamał.
Bosak,Sytuacja taka  że np. w Kongresie trwają prace nad ustawą  która ma antypolski charakter  a polska dyplomacja  polski prezydent w tej sprawie milczy  jest to sytuacja zupełnie nieakceptowalna  a tak było w przypadku ustawy 447.
Bosak,W porannych  bo o godz. 5 rano  dyskusjach nad pierwszą tarczą antykryzysową zwracałem uwagę tutaj z mównicy  mówiąc do dziś nieobecnego na sali premiera Morawickiego  że potrzebujemy przepisów  które chroniłyby konsumentów  kredytobiorców  leasingobiorców przed nadużyciami ze strony instytucji finansowych. 2 miesiące gadania  petycja  którą podpisało kilkadziesiąt tysięcy obywateli  podnoszenie tematu dziesiątki razy w mediach  podchwycenie tematu przez Lewicę  przez inne kluby opozycyjne i proszę bardzo  po trwających tygodniami zapowiedziach udało się  mamy projekt w Sejmie.
Bosak,Pani Marszałek! Wysoka Izbo! Francuzi i Niemcy forsują obecnie plan stworzenia unijnego funduszu rekonstrukcji  w ramach którego to nie bogatsi będą pomagać biednym  ale  uwaga  to Polska i inne kraje nowej Unii zaczną finansować Europę południową. Polska miałaby być najbardziej obciążonym krajem. Mielibyśmy wnieść do funduszu prawie 2% PKB. Niemcy  dla porównania  wniosłyby trochę ponad 0 5% PKB. Sprzeciw wyraziły już Austria  Holandia  Dania  Szwecja. Tymczasem nasz rząd milczy i pokornie czeka na decyzje Brukseli. Polska powinna być pierwszym przeciwnikiem tego bandyckiego projektu. Składam wniosek formalny o przyjęcie przez Sejm uchwały zobowiązującej rząd premiera Morawieckiego do aktywnej walki z tą próbą obrabowania Polaków albo o złożenie rezygnacji z urzędu premiera  jeżeli brakuje mu odwagi  żeby sprzeciwić się niekorzystnym projektom w ramach Unii Europejskiej. Dziękuję bardzo.
Bosak,Panie Marszałku! Wysoki Sejmie! Otwieramy projekt ustawy  która jest trzecią wersją tarczy antykryzysowej  i w art. 15 znajdujemy przepisy  które nie mają nic wspólnego z walką z kryzysem. Mianowicie rząd w art. 15 wprowadza nowy podatek bez żadnej dyskusji  bez żadnych konsultacji  bez żadnego namysłu  bez żadnej logiki. Chodzi o podatek  czytam  uwaga  pkt 6a  od podmiotu dostarczającego audiowizualną usługę medialną na żądanie. W uzasadnieniu możemy się dowiedzieć  że będzie on odprowadzany do Państwowego Instytutu Sztuki Filmowej  a więc nawet nie w celu walki z kryzysem  nie w celu ochrony zdrowia  właściwie nie wiadomo w jakim celu. Gdyby Państwowy Instytut Sztuki Filmowej nie miał pieniędzy  to przecież premier  skoro sytuacja budżetowa była tak doskonała  z pewnością by dosypał  ale nie trzeba było dosypywać. Teraz jest wprowadzany nowy podatek. I kto ma go płacić? Na pierwszym miejscu Ipla  na drugim Player  na trzecim Amazon  na czwartym CDA  na piątym Netflix  Apple. Czy kogoś nam na tej liście brakuje? Oczywiście brakuje dwóch największych platform internetowych  które zgarniają prawie wszystkie budżety reklamowe w Internecie. Oczywiście są to dwie firmy amerykańskie. Mam na myśli Google i Facebook. Czy to  co robi rząd  to podatek cyfrowy  o którym tyle mówił? Czy w tej chwili bocznymi drzwiami wprowadza jakąś wykastrowaną wersję w sposób wylobbowany przez panią ambasador? Czy o to chodzi? Dlaczego rząd postanowił opodatkować akurat to  za co Polacy sami płacą  czyli filmy  które sobie opłacą? Dlaczego rząd nie zdecydował się opodatkować tego  co jest dostarczane bezpłatnie  i tych firm  które zgarniają większość budżetów reklamowych? Jestem przeciwnikiem wszelkich nowych podatków  mówię to wyraźnie  żeby to wybrzmiało  ale skoro mamy maniaków podatkowych w rządzie  bo pan Mateusz Morawiecki zareagował na kryzys  ogłaszając  że na forum unijnym będzie pielgrzymował  żeby wprowadzić trzy nowe podatki  to jest jego ofensywa dyplomatyczna  a na forum wewnętrznym zaproponował  że będzie wprowadzał z zaskoczenia nowy podatek  jak to nazwali  od usług audiowizualnych na żądanie  to może chociaż zrobić to zgodnie z jakąś logiką? Dlaczego nie zabieracie tym  którzy mają najwięcej pieniędzy? Co to za dupochron z przekazywaniem pieniędzy twórcom? Co to za kombinacje? Skąd te słowa ˝na żądanie˝? To są wasze ˝lub czasopisma˝. Gdyby tu nie było słów ˝na żądanie˝  to największe amerykańskie korporacje by podpadły pod tę ustawę. A tak zrobiliście to w ten sposób  że zapłaci część polskich firm. Suma z tego podatku  z tego  co tu widzę  wyliczenie - kilkanaście milionów złotych. Przecież to jakiś żart. Właśnie sobie wypłacacie z narodowego banku dziesiątki  o ile nie setki miliardów złotych  w ogóle poza kontrolą budżetową  poza kontrolą Sejmu. A tutaj nowy podatek na kilkanaście milionów. No co wy wyrabiacie? O co tu chodzi? Czemu tu nie ma premiera? Czemu tutaj nie ma prezesa PiS-u? Kto nam w ogóle to wytłumaczy? Są w tej tarczy też inne ciekawe rzeczy  mogę i o nich powiedzieć kilka słów  chociaż może nie tak zaskakujące  bo są to pomysły Konfederacji  np. zwolnienie z ZUS-u drobnych przedsiębiorców  tych  którzy mają wysoki obrót  nieduży dochód. To myśmy o tym mówili. Zgłaszaliśmy taką poprawkę do pierwszej tarczy  do drugiej tarczy. Proszę bardzo  jest trzecia tarcza  rząd poszedł po rozum do głowy  robi to  co proponowała Konfederacja. Skorzystają na tym ludzie z gastronomii  handlarze  różne niskomarżowe usługi.  Następna interesująca rzecz w tarczy. Okazuje się  że jednak da się zrobić to  co Konfederacja postulowała w wyborach do Sejmu  a więc np. chodzi o elektroniczne doręczenia w sądach. Czego było potrzeba  ażeby PiS poszedł po rozum do głowy? Epidemii trzeba było  żebyście posłuchali tego  co myśmy mówili. Elektroniczny obieg pism w sądach. Kto o tym mówił w kampanii wyborczej w zeszłym roku? My - kiedy wyście się bawili w rozgrywki na szczytach hierarchii sędziowskiej. Następna sprawa. Okazuje się  że ZUS nie musi wydawać 25 mln zł po to  żeby rozsyłać wszystkim papierowe informacje o tym  ile mają tzw. składek  które  tak na marginesie  nigdzie się nie odkładają  państwo pewnie doskonale o tym wiecie. Okazało się  że dzięki epidemii można ograniczyć biurokrację w ZUS-ie. Ale mamy też inne ciekawostki  np. kolejne ułatwienia dla imigrantów zarobkowych. W poprzedniej tarczy  pierwszej  drugiej  rząd automatycznie wydłużył pozwolenia na pracę dla imigrantów zarobkowych. Teraz wprowadza dalsze ułatwienia  żeby znieść obowiązek aktualizacji zezwoleń przy zmianie warunków zatrudnienia. A dzisiejsza ˝Rzeczpospolita˝ donosi  że już 900 tys. osób ma propozycję zrezygnowania z pracy albo zwolnienia i że stopa bezrobocia zbliża się do 10%. To kwota  o której wy mówiliście  że będzie na koniec roku  a mamy kwiecień
Biedroń,Być może te zasady przyznawania koncesji są zbyt surowe. I to my  jako politycy  powinniśmy zastanowić się  co zrobić żeby mieć ten pluralizm mediów. Ja będę zawsze stał po stronie ojca Rydzyka  kiedy jest nierówno traktowany  wyśmiewany i dyskryminowany. Choć wiemy wszyscy  że ojciec Rydzyk nie jest ideałem.
Biedroń,Czy polski Sejm jest zaściankiem? Myślę  że tak. W wyborach dostałem bardzo silny mandat–17 tys. głosów mieszkańców Pomorza. Społeczeństwo zdecydowało  że powinienem być w Sejmie. Politycy tym rechotem zdecydowali  że moje miejsce jest gdzie indziej. To jest problem posłów i posłanek  którzy są oderwani od społeczeństwa. Społeczeństwo się zmieniło  ale politycy muszą tę lekcję tolerancji jeszcze odrobić.
Biedroń,Donald Tusk jest prawdziwym przedstawicielem rasy aryjskiej
Biedroń,Dzisiaj SLD woli się bratać z Business Centre Club  czyli z bogaczami. Im jest bliżej do ludzi  którzy mają duże pieniądze  a nie do ludzi wykluczonych. To kompletna aberracja lewicy. (…) Byłbym jednak niesprawiedliwy  gdybym powiedział  że wszyscy ludzie w SLD są bezideowi.
Biedroń,Faszyzm odradza się w naszym kraju
Biedroń,Geje są obecni w zespołach piłkarskich. Mówi się często w „środowisku”  że ten  czy tamten jest homoseksualistą. Ci piłkarze nie chcą się ujawniać  bo wiedzą  że będą bardzo źle traktowani.
Biedroń,Grzegorz nie ma koncepcji  ale też nie nadaje się na lidera. Nie jest przywódcą  jakiego dzisiaj potrzebuje lewica. (…) Proszę popatrzeć na jego życiorys. Napieralski nie ma zawodu  prawie żadnego doświadczenia zawodowego  nigdy nie pracował z ludźmi wykluczonymi. Potrafi rozdawać jabłka  ale nie potrafi zapracować na te jabłka. Dlatego ci robotnicy  którym on te jabłka rozdawał  patrzyli na niego jak na kosmitę. Salonowa lewica z poselskimi dietami wyszła do ludu z jabłkiem. I tacy są ludzie wokół Napieralskiego  nie chcę wymieniać ich po nazwisku  ale to często zwykli aparatczycy.
Biedroń,I bronić ich przed czym? Dzieci trzeba bronić przed głupotą  niewiedzą i ignorancją. Jeśli zgadzamy się co do tego  to trzeba bronić dzieci przed posłem Mularczykiem  bo on wypowiada głupoty
Biedroń,I nadal pokładam  ale nie z Leszkiem Millerem na czele. Ubolewam nad tym  że Leszek Miller znów chce kończyć. On nigdy nie skończy  z tymi atrybutami się nie kończy. I pociągnie lewicę w dół  ubolewam nad tym  to taki trochę powrót żywych trupów do SLD  chyba nie o taką lewicę nam chodzi w Polsce. I jest to porażka.
Biedroń,Jak patrzę na to  jak Kaczyński wyciąga te demony z szafy  to jestem przerażony. Kaczyński tworzy rząd na uchodźstwie i żyje w jakiejś innej przestrzeni. Hasła  które padały w czasie tej demonstracji  sugerowały  że nie mamy demokracji  ale takie budzenie demonów  lęki i ksenofobia wychodząca na ulice nie buduje demokracji.
Biedroń,Janku  przecież kopaliśmy ostatnio piłkę na Agrykoli. Chyba musimy przerobić twoje uprzedzenia w sejmowej saunie
Biedroń,Jeśli biskup poprosi o audiencję  to się z nim spotkam – tak jak ze wszystkimi mieszkańcami. Jestem otwarty. Przecież to ja jestem prezydentem miasta. Nie widzę żadnego powodu  dla którego to ja biskupa miałbym prosić o audiencję.
Biedroń,Jeśli miałbym kiedykolwiek robić ilustracje dla książki Witkowskiego  która opisuje takie PRL-owskie cioty  ludzi  którzy nie do końca są dopasowani społecznie  to na pewno na ilustracji znalazłby się Jarosław Kaczyński.
Biedroń,Jeśli pojedziemy na wieś  gdzie jedynym dobrem  jakie mają mieszkańcy jest internet  to czy nie powinni mieć prawa korzystać z różnych zasobów?
Biedroń,Jeżeli karta LGBT jest taka super  a uważam  że jest – kolejny raz chwalę Trzaskowskiego – to niech ją Koalicja Europejska wpisze na sztandary. W polityce trzeba mieć odwagę. Wiosna ma być energią  której potrzebują ci wszyscy byli premierzy  prezydenci. Żeby wreszcie zauważyli  że jest inny świat  że są ludzie młodzi.
Biedroń,Kiedy słyszysz z ust premiera  że homoseksualizm jest nienormalny  że powinniśmy być leczeni  że będą próbowali leczyć nas siłą  to jest przerażające
Biedroń,Konwent Seniorów to jest zebranie najważniejszych  najstarszych posłów w parlamencie
Biedroń,Miller i Kaczyński mają wiele wspólnego – potrafią się farbować politycznie w zależności od tego  jak wiatr zawieje. Kiedyś towarzysz Miller był w Biurze Politycznym KC PZPR  które tłumiło ruch „Solidarności”  a dzisiaj dla kapitału politycznego śpiewa z nimi „Mury”. Nie zdziwię się jak Miller oświadczy się Kaczyńskiemu  zawierając sojusz z PiS  żeby tylko utrzymać się w polityce. To budzi zażenowanie.
Biedroń,Myślę  że lekko przesadza w sprawie tej wolności  ale na pewno ma rację jeśli chodzi o styl rządzenia. Dzisiaj ten styl  który jest stosowany przez Orbana  Kaczyńskiego czy Erdogana w Turcji przypomina styl putinowski  zresztą Putinowi się to bardzo podoba  on na pewno zaciera ręce.
Biedroń,Myślałem  że dinozaury wyginęły! PE to nie dom spokojnej starości! Leśne dziadki na płatnych wczasach. Mówię nie! Skończmy z dziadostwem w polskiej polityce
Biedroń,Najpierw powołam Komisję Prawdy i Pojednania na wzór tej  która powstała w RPA po zniesieniu apartheidu. Chciałbym  by zostały wyjaśnione wszystkie przypadki nadużycia prawa  złamania konstytucji przez PiS i żeby osoby za to odpowiedzialne postawiono przed Trybunałem Stanu.
Biedroń,Nie  ja będę premierem  tylko premier może podejmować decyzje
Biedroń,Palikot to jest taki nowoczesny Lepper  też walczy z establishmentem
Biedroń,Palikot zadzwonił i zaoferował start. Dzisiaj to jedyna alternatywa dla SLD i PO. Jak pokazują ostatnie badania  prawie 30 proc. Polaków chce iść na wybory  ale nie chce głosować na PO  PiS czy SLD. To ogromna rzesza ludzi  którym można dać szansę na nowoczesną  europejską i tolerancyjną Polskę.
Biedroń,Po 18 latach obecności Platformy Obywatelskiej w polskiej polityce dziękujemy za pilniczek dla kobiet. Postępowo!
Biedroń,Policja w demokratycznym kraju nie powinna mieć prawa do stosowania przemocy wobec kogokolwiek
Biedroń,Połowę swojego życia przeznaczyłem na zmianę SLD. Moja misja się nie udała. Nie wygrała tam twarz tolerancyjnej partii  ale twarz posła Marka Wikińskiego. Homofobiczna gęba  która w sposób naturalny po moim odejściu została pokazana społeczeństwu polskiemu.
Biedroń,Są ważniejsze problemy niż bieda Jana Rokity  który sobie poradzi. Wolałbym  żeby politycy zaangażowali się we wspieranie tych naprawdę najbiedniejszych  a nie przebywającego we Włoszech Jana Rokity. (…) Jako wiceprzewodniczący sejmowej Komisji Sprawiedliwości i Praw Człowieka czuję się zakłopotany trendem coraz częstszego podważania wyroków sądowych i używania ich w celach politycznych. Doszło już do przemocy fizycznej wobec sędziego. To jest bardzo niebezpieczna radykalizacja i naruszanie trójpodziału władzy.
Biedroń,To może frustrować tych  którzy do niedawna czuli  że posiadają wyłączność na Polskę. Że wspólnota  w której żyjemy  jest jednorodna  heteroseksualna  seksistowska  katolicka  a ci  którzy myślą inaczej  mają siedzieć cicho lub się wynosić.
Biedroń,Szanowny Panie Marszałku! Panie Ministrze! Wysoka Izbo! W imieniu Klubu Poselskiego Twój Ruch pragnę przedstawić stanowisko w sprawie sprawozdania komisji o komisyjnym projekcie uchwały w sprawie ustanowienia dnia 20 listopada Ogólnopolskim Dniem Praw Dziecka  zawartego w drukach nr 2813 i 2871. 20 listopada 2014 r. przypada 25. rocznica przyjęcia przez Zgromadzenie Ogólne Organizacji Narodów Zjednoczonych Konwencji o prawach dziecka. Jak piszą wnioskodawcy w projekcie oświadczenia: ˝To wydarzenie ma szczególne znaczenie dla Polski jako inicjatora działań i prekursora prac nad stworzeniem tego najważniejszego na świecie dokumentu chroniącego prawa dzieci˝.Doceniając wagę oraz rangę tej rocznicy i tego wydarzenia  Klub Poselski Twój Ruch w pełni popiera treść sprawozdania komisji oraz oświadcza  że w głosowaniach będzie głosował zgodnie z decyzją podjętą przez wysoką komisję.
Biedroń,Szanowny Panie Marszałku! Panie Ministrze! Wysoka Izbo! W imieniu Klubu Poselskiego Twój Ruch pragnę przedstawić nasze stanowisko w sprawie sprawozdania komisji o poselskim projekcie ustawy o zmianie ustawy o Krajowym Rejestrze Sądowym oraz o zmianie niektórych innych ustaw  druki nr 2816 oraz 2867. Klub Poselski Twój Ruch w pełni popiera treść sprawozdania Komisji Sprawiedliwości i Praw Człowieka oraz oświadcza  że w głosowaniach będzie głosował zgodnie z decyzją podjętą jednogłośnie przez komisję.
Biedroń, Panie Marszałku! Panowie Ministrowie! Wysoka Izbo! Stanisław Mackiewicz  znany publicysta  cytowany zresztą ostatnio przez pana marszałka Sikorskiego  napisał  że polityka jest dziedziną  w której kierunek drogi jest rzeczą najważniejszą. Ważniejsze bowiem jest to  gdzie idziemy  niż to  gdzie się w danej chwili znajdujemy. Tak więc pomimo że priorytety naszej dyplomacji dyktuje życie i są one funkcją i czasu  i sytuacji międzynarodowej  trzymający busolę musi trzymać się także wyznaczonego przez busolę kierunku. Bez tego kierunku nigdzie nie zajdziemy. Dlatego naszym nadrzędnym celem musi być Europa  Europa złożona z demokratycznych państw  federacja państw zintegrowanych w ramach Unii Europejskiej z silną walutą europejską  Europa chroniąca nas przed zagrożeniami z zewnątrz. Unia Europejska  i Polska musi jej w tym pomóc  musi wyjść z tego kryzysu  w którym obecnie się znalazła  bardziej scalona  bardziej demokratyczna  bliższa swym obywatelom. Ale żeby Unia Europejska mogła sobie radzić z tym kryzysem  potrzebujemy konkretnych działań. I Klub Poselski Twój Ruch dzisiaj te działania przedstawi w przeciwieństwie do pana ministra spraw zagranicznych  który obiecywał nam przedstawienie swojej wizji i konkretnych priorytetów swojego działania  a w jego wypowiedzi były tylko ogólniki  bez wskazywania jakichkolwiek konkretnych planów rozwiązania bardzo poważnych kwestii.  Rdzeniem integracji Europy powinna być silna waluta. Minister spraw zagranicznych powinien szczególnie w tej sytuacji  w której dzisiaj znajduje się Europa  przedstawić nam dokładną mapę drogową dochodzenia do strefy euro. Polska musi dla swojego bezpieczeństwa  nie tylko finansowego  znaleźć się w strefie euro. Podobnie pozytywnie oceniamy projekt unii bankowej w Unii Europejskiej. Dla naszego bezpieczeństwa finansowego musimy zrobić wszystko  żeby nie tylko unia bankowa  ale także te olbrzymie pieniądze  które napłyną w najbliższej perspektywie budżetowej znalazły swoje zastosowanie w naszym budżecie i wspierały także nasz eksport. Tego niestety również zabrakło w pana wystąpieniu. Demokratyzacja energetyczna. My wcale z negocjacji w sprawie pakietu klimatycznego nie wyszliśmy obronną ręką. Polskie źródła pozyskiwania energii tkwią w XIX w.  podczas kiedy Europa jest w XXII w.  jeśli chodzi o źródła pozyskiwania energii. Kolejnym poważnym wyzwaniem jest tworzenie wspólnej polityki zagranicznej Unii Europejskiej. Tylko i wyłącznie zjednoczona Unia Europejska mówiąca jednym głosem w sprawach zagranicznych  w sprawach zewnętrznych będzie w stanie przeciwstawić się zagrożeniom. Pan minister też dzisiaj nic na ten temat nie powiedział. Niestety  pomimo wielu obietnic ze strony byłego premiera Donalda Tuska nie wspomniał pan dzisiaj nic na temat Karty Praw Podstawowych Unii Europejskiej. Kiedy Polska odstąpi od protokołu brytyjskiego? Tego dzisiaj pomimo obietnic nie dowiedzieliśmy się. W zakresie Unii Europejskiej  w zakresie wizji Unii Europejskiej rządu Ewy Kopacz pan minister Schetyna mógłby dzisiaj dużo więcej powiedzieć. Przecież miał pan kilka godzin temu spotkanie ze świetną  profesjonalną  proeuropejską  profederacyjną szefową dyplomacji europejskiej Federicą Mogherini. Dlaczego ten jej duch optymizmu  ale też jej wizja Europy nie może zstąpić na pana i pana natchnąć? Gdzie jest ten pana duch? (Oklaski) Brakuje tej pozytywnej wizji pana marszałka Sikorskiego  który w Berlinie i tutaj wielokrotnie zarażał nas tą swoją wizją. W panu tego ducha nie widać. Nadal niestety nie doczekaliśmy się niczego w sprawie konwencji Rady Europy o przeciwdziałaniu przemocy wobec kobiet. Dzisiaj pan milczy na ten temat. Platforma Obywatelska nadal ma problem z przyjęciem tego fundamentalnego dla wielu osób dokumentu. Polska polityka regionalna jest kulawa. Dzisiaj o tym wielokrotnie mówiono. Klęska Grupy Wyszehradzkiej  niewiarygodne Partnerstwo Wschodnie  uwiąd Trójkąta Weimarskiego - w tej dziedzinie Polska ma nadal wiele do zrobienia. Nie możemy pozostawić krajów  z którymi nawiązaliśmy partnerstwo  którym obiecaliśmy dalszą integrację  samym sobie. W sprawie Syrii  sytuacji na Bliskim Wschodzie MSZ tylko i wyłącznie dostosowuje się do uchwał  infantylnych uchwał  które przyjmuje parlament  w sprawie obrony jakichś grup  dzieląc te grupy na lepsze i gorsze. Dzisiaj Bliski Wschód potrzebuje realnej pomocy humanitarnej. A pan na ten temat też nic nie powiedział. I sytuacja na Ukrainie  bardzo poważna sprawa polityki wschodniej. Z jednej strony mamy naiwny militaryzm Jarosława Kaczyńskiego  z drugiej strony mamy chowanie głowy w piasek pani premier Ewy Kopacz. Obiecaliśmy Ukrainie wsparcie  a dzisiaj mamy pana słowa  w których porównuje pan Ukrainę do kolonii. Pana porównanie jej do byłych kolonii francuskich mogło zaszkodzić bardziej niż słowa wypowiedziane kilka dni wcześniej przez pana marszałka Sikorskiego. Pan będzie ponosił za to odpowiedzialność. Ta nasza naiwna polityka wobec Ukrainy (Dzwonek) może przynieść wiele szkód. Apeluję więc do pana: Jeżeli chce pan  żeby Klub Poselski Twój Ruch przyjął pana priorytety dyplomatyczne  to oczekujemy konkretów  oczekujemy odpowiedzi na te pytania. W przeciwnym razie będziemy zmuszeni do głosowania przeciwko zakreślonym przez pana priorytetom. Dziękuję bardzo.
